;Identificador do acidente;Data;Dia da semana;Horário;Estado;BR;km;Município;Causa do acidente;Tipo do acidente;Gravidade do acidente;Fase do dia;Sentido da via;Condição do tempo;Tipo de pista;Traçado da via;uso_solo;Número de passageiros;Número de cavaleiro;Número de condutor;Número de pedestre
32534;608695;2024-06-20;quinta-feira;05:30:00;SP;116.0;218.0;GUARULHOS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Amanhecer;Decrescente;Ensolarado;Dupla;"Reta;Em Obras;Interseção de Vias";Urbano;1;0;2;0
32551;608712;2024-06-20;quinta-feira;07:20:00;SP;116.0;158.0;JACAREI;Reação tardia ou ineficiente do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;5;0;3;0
32556;608717;2024-06-20;quinta-feira;07:30:00;SP;116.0;289.0;ITAPECERICA DA SERRA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
32567;608728;2024-06-20;quinta-feira;09:00:00;SP;116.0;223.0;GUARULHOS;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Urbano;1;0;2;0
32576;608738;2024-06-20;quinta-feira;10:40:00;SP;116.0;223.8;GUARULHOS;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Múltipla;Reta;Urbano;1;0;2;0
32596;608761;2024-06-16;domingo;16:36:00;SP;153.0;326.8;SALTO GRANDE;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Simples;Reta;Rural;6;0;2;0
32617;608787;2024-06-20;quinta-feira;15:10:00;SP;116.0;469.0;JACUPIRANGA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;"Reta;Em Obras";Rural;1;0;3;0
32622;608792;2024-06-20;quinta-feira;15:28:00;SP;381.0;40.3;ATIBAIA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;3;0
32649;608822;2024-06-04;terça-feira;15:20:00;SP;116.0;445.0;REGISTRO;Acessar a via sem observar a presença dos outros veículos;Eventos atípicos;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;1;0;1;0
32653;608826;2024-06-20;quinta-feira;17:40:00;SP;381.0;57.7;MAIRIPORA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Ensolarado;Dupla;"Reta;Aclive";Rural;0;0;2;0
32676;608849;2024-06-20;quinta-feira;19:40:00;SP;153.0;114.7;JOSE BONIFACIO;Ingestão de álcool pelo condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Simples;Reta;Urbano;0;0;3;0
32727;608901;2024-06-21;sexta-feira;05:15:00;SP;116.0;330.0;JUQUITIBA;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Com Vítimas Feridas;Amanhecer;Decrescente;Nevoeiro/Neblina;Dupla;Reta;Rural;1;0;2;0
32738;608912;2024-06-21;sexta-feira;06:05:00;SP;153.0;0.5;ICEM;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Amanhecer;Decrescente;Ensolarado;Simples;Reta;Rural;0;0;1;0
32788;608963;2024-06-21;sexta-feira;12:10:00;SP;116.0;57.0;GUARATINGUETA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Urbano;0;0;3;0
32807;608984;2024-06-21;sexta-feira;12:40:00;SP;116.0;142.0;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;2;0;2;0
32814;608991;2024-06-21;sexta-feira;12:45:00;SP;116.0;416.0;JUQUIA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
32846;609023;2024-06-21;sexta-feira;17:00:00;SP;153.0;61.3;SAO JOSE DO RIO PRETO;Manobra de mudança de faixa;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;"Reta;Declive";Urbano;0;0;1;0
