;Identificador do acidente;Data;Dia da semana;Horário;Estado;BR;km;Município;Causa do acidente;Tipo do acidente;Gravidade do acidente;Fase do dia;Sentido da via;Condição do tempo;Tipo de pista;Traçado da via;uso_solo;Número de passageiros;Número de cavaleiro;Número de condutor;Número de pedestre
10;571786;2024-01-01;segunda-feira;03:00:00;SP;101.0;28.4;UBATUBA;Condutor Dormindo;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Simples;Reta;Rural;0;0;1;0
14;571790;2024-01-01;segunda-feira;02:50:00;SP;101.0;41.0;UBATUBA;Reação tardia ou ineficiente do condutor;Colisão com objeto;Sem Vítimas;Plena Noite;Crescente;Ensolarado;Simples;Curva;Rural;0;0;2;0
82;571867;2024-01-01;segunda-feira;12:20:00;SP;116.0;161.0;JACAREI;Ausência de reação do condutor;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Múltipla;Reta;Rural;1;0;1;0
86;571871;2024-01-01;segunda-feira;13:00:00;SP;116.0;90.6;PINDAMONHANGABA;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Com Vítimas Fatais;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;0;0;1;1
87;571873;2024-01-01;segunda-feira;13:20:00;SP;116.0;273.0;EMBU DAS ARTES;Velocidade Incompatível;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
98;571885;2024-01-01;segunda-feira;13:40:00;SP;101.0;36.0;UBATUBA;Ultrapassagem Indevida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Simples;Interseção de Vias;Rural;0;0;2;0
149;571949;2024-01-01;segunda-feira;18:10:00;SP;116.0;550.0;BARRA DO TURVO;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Simples;Curva;Rural;0;0;1;0
158;571958;2024-01-01;segunda-feira;18:15:00;SP;116.0;102.0;PINDAMONHANGABA;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Anoitecer;Decrescente;Ensolarado;Dupla;Reta;Rural;1;0;1;0
171;571972;2024-01-01;segunda-feira;18:30:00;SP;381.0;40.0;ATIBAIA;Ausência de reação do condutor;Colisão com objeto;Com Vítimas Fatais;Anoitecer;Decrescente;Ensolarado;Dupla;"Aclive;Reta;Em Obras";Urbano;0;0;1;0
177;571978;2024-01-01;segunda-feira;20:00:00;SP;116.0;230.0;SAO PAULO;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Não Informado;Múltipla;"Em Obras;Reta;Interseção de Vias";Urbano;1;0;2;0
198;571999;2024-01-01;segunda-feira;21:45:00;SP;116.0;208.0;GUARULHOS;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Múltipla;Reta;Urbano;1;0;2;0
225;572030;2024-01-01;segunda-feira;22:15:00;SP;116.0;105.0;TAUBATE;Ausência de reação do condutor;Capotamento;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Múltipla;Reta;Urbano;4;0;1;0
226;572031;2024-01-02;terça-feira;04:37:00;SP;116.0;134.0;SAO JOSE DOS CAMPOS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
240;572047;2024-01-02;terça-feira;05:30:00;SP;116.0;108.0;TAUBATE;Ausência de reação do condutor;Colisão lateral mesmo sentido;Sem Vítimas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
269;572078;2024-01-02;terça-feira;09:30:00;SP;101.0;51.0;UBATUBA;Trafegar com motocicleta (ou similar) entre as faixas;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;"Reta;Interseção de Vias";Urbano;3;0;2;0
292;572104;2024-01-02;terça-feira;10:30:00;SP;101.0;42.0;UBATUBA;Ausência de reação do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Rural;1;0;4;0
294;572107;2024-01-02;terça-feira;10:45:00;SP;101.0;44.0;UBATUBA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Simples;Reta;Urbano;0;0;2;0
299;572112;2024-01-02;terça-feira;10:45:00;SP;116.0;117.0;TAUBATE;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;1;0;2;0
328;572143;2024-01-02;terça-feira;12:45:00;SP;381.0;17.3;BRAGANCA PAULISTA;Condutor deixou de manter distância do veículo da frente;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;"Reta;Aclive";Rural;1;0;5;0
352;572179;2024-01-02;terça-feira;15:40:00;SP;101.0;44.5;UBATUBA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;"Reta;Interseção de Vias";Rural;3;0;2;0
399;572232;2024-01-02;terça-feira;20:00:00;SP;116.0;432.0;REGISTRO;Desvio temporário;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Rural;5;0;1;0
412;572246;2024-01-02;terça-feira;20:30:00;SP;381.0;37.5;ATIBAIA;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Dupla;"Reta;Declive";Urbano;0;0;2;0
431;572266;2024-01-02;terça-feira;21:05:00;SP;116.0;545.0;BARRA DO TURVO;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;"Curva;Declive";Rural;0;0;1;0
432;572267;2024-01-02;terça-feira;22:35:00;SP;116.0;65.0;GUARATINGUETA;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Chuvoso;Dupla;Curva;Urbano;0;0;1;0
434;572269;2024-01-02;terça-feira;23:30:00;SP;116.0;215.0;GUARULHOS;Ingestão de álcool pelo condutor;Colisão com objeto;Sem Vítimas;Plena Noite;Decrescente;Ensolarado;Múltipla;Reta;Urbano;0;0;1;0
436;572271;2024-01-03;quarta-feira;00:15:00;SP;381.0;10.0;VARGEM;Condutor Dormindo;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Rural;2;0;2;0
458;572297;2024-01-03;quarta-feira;06:37:00;SP;153.0;64.5;SAO JOSE DO RIO PRETO;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;"Reta;Aclive";Urbano;1;0;2;0
466;572306;2024-01-03;quarta-feira;07:15:00;SP;116.0;60.5;GUARATINGUETA;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Interseção de Vias;Urbano;0;0;1;0
496;572347;2024-01-03;quarta-feira;10:50:00;SP;153.0;19.6;NOVA GRANADA;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Rural;1;0;2;0
533;572395;2024-01-03;quarta-feira;14:42:00;SP;153.0;58.5;SAO JOSE DO RIO PRETO;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
536;572399;2024-01-03;quarta-feira;15:15:00;SP;116.0;67.4;GUARATINGUETA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Chuvoso;Dupla;"Reta;Aclive";Rural;0;0;2;0
555;572424;2024-01-03;quarta-feira;17:00:00;SP;116.0;135.1;SAO JOSE DOS CAMPOS;Ausência de reação do condutor;Colisão traseira;Sem Vítimas;Anoitecer;Decrescente;Chuvoso;Dupla;Reta;Urbano;0;0;2;0
570;572445;2024-01-03;quarta-feira;18:00:00;SP;116.0;393.0;MIRACATU;Pista Escorregadia;Tombamento;Com Vítimas Feridas;Anoitecer;Crescente;Chuvoso;Dupla;Reta;Rural;0;0;1;0
587;572467;2024-01-03;quarta-feira;18:30:00;SP;116.0;538.0;BARRA DO TURVO;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Chuvoso;Dupla;Reta;Rural;2;0;2;0
609;572494;2024-01-04;quinta-feira;00:05:00;SP;381.0;62.0;MAIRIPORA;Ausência de reação do condutor;Capotamento;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Rural;0;0;1;0
618;572503;2024-01-03;quarta-feira;22:10:00;SP;116.0;561.0;BARRA DO TURVO;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Chuvoso;Dupla;Curva;Rural;0;0;1;0
646;572537;2024-01-04;quinta-feira;05:00:00;SP;116.0;327.0;JUQUITIBA;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Amanhecer;Decrescente;Chuvoso;Dupla;Curva;Urbano;0;0;1;0
651;572544;2024-01-04;quinta-feira;09:30:00;SP;116.0;559.0;BARRA DO TURVO;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Crescente;Chuvoso;Dupla;Reta;Rural;0;0;1;0
660;572559;2024-01-04;quinta-feira;10:40:00;SP;116.0;391.0;MIRACATU;Avarias e/ou desgaste excessivo no pneu;Saída de leito carroçável;Sem Vítimas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Urbano;3;0;1;0
669;572571;2024-01-04;quinta-feira;13:10:00;SP;116.0;10.5;QUELUZ;Reação tardia ou ineficiente do condutor;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;3;0;2;0
674;572578;2024-01-04;quinta-feira;13:30:00;SP;116.0;347.0;MIRACATU;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuvoso;Dupla;Curva;Rural;0;0;1;0
675;572579;2024-01-04;quinta-feira;13:25:00;SP;116.0;74.4;APARECIDA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Rural;0;0;2;0
685;572595;2024-01-04;quinta-feira;12:55:00;SP;116.0;104.6;TAUBATE;Condutor deixou de manter distância do veículo da frente;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Urbano;2;0;4;0
708;572623;2024-01-04;quinta-feira;17:40:00;SP;101.0;48.0;UBATUBA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Chuvoso;Simples;Interseção de Vias;Urbano;0;0;2;0
711;572627;2024-01-04;quinta-feira;18:30:00;SP;116.0;225.0;GUARULHOS;Chuva;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Chuvoso;Múltipla;Reta;Urbano;1;0;1;0
723;572641;2024-01-04;quinta-feira;15:05:00;SP;116.0;569.0;BARRA DO TURVO;Reação tardia ou ineficiente do condutor;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Nublado;Dupla;"Reta;Declive";Urbano;0;0;2;0
724;572642;2024-01-04;quinta-feira;18:00:00;SP;381.0;68.0;MAIRIPORA;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Anoitecer;Crescente;Chuvoso;Dupla;Reta;Rural;0;0;1;2
738;572658;2024-01-04;quinta-feira;21:38:00;SP;116.0;320.0;JUQUITIBA;Ultrapassagem Indevida;Saída de leito carroçável;Sem Vítimas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Urbano;0;0;1;0
744;572664;2024-01-04;quinta-feira;23:00:00;SP;116.0;221.0;GUARULHOS;Pedestre andava na pista;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Múltipla;Reta;Rural;0;0;1;1
755;572675;2024-01-04;quinta-feira;23:50:00;SP;116.0;226.3;GUARULHOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Chuvoso;Múltipla;Reta;Rural;0;0;3;0
785;572713;2024-01-05;sexta-feira;09:00:00;SP;116.0;306.0;SAO LOURENCO DA SERRA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Múltipla;"Reta;Aclive";Urbano;0;0;1;0
834;572778;2024-01-05;sexta-feira;16:20:00;SP;116.0;223.0;GUARULHOS;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Múltipla;Reta;Rural;1;0;3;0
837;572782;2024-01-05;sexta-feira;16:10:00;SP;116.0;147.0;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
869;572820;2024-01-05;sexta-feira;19:40:00;SP;116.0;168.1;JACAREI;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Múltipla;"Reta;Aclive";Rural;1;0;1;0
891;572846;2024-01-05;sexta-feira;21:40:00;SP;116.0;48.3;CANAS;Transitar no Acostamento;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Rural;0;0;1;0
932;572894;2024-01-06;sábado;08:15:00;SP;116.0;133.0;CACAPAVA;Ausência de reação do condutor;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;1;0;3;0
944;572908;2024-01-06;sábado;09:45:00;SP;381.0;57.0;MAIRIPORA;Ausência de reação do condutor;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
964;572930;2024-01-06;sábado;12:00:00;SP;381.0;12.0;BRAGANCA PAULISTA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;"Reta;Retorno Regulamentado";Rural;1;0;2;0
983;572950;2024-01-06;sábado;13:50:00;SP;116.0;51.0;LORENA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Retorno Regulamentado;Urbano;0;0;2;0
987;572955;2024-01-06;sábado;14:00:00;SP;381.0;43.0;ATIBAIA;Demais falhas mecânicas ou elétricas;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;"Reta;Aclive";Urbano;0;0;1;0
1001;572969;2024-01-06;sábado;15:45:00;SP;381.0;32.0;ATIBAIA;Condutor deixou de manter distância do veículo da frente;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;1;0;3;0
1012;572984;2024-01-06;sábado;16:40:00;SP;101.0;40.0;UBATUBA;Reação tardia ou ineficiente do condutor;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ensolarado;Simples;Reta;Urbano;0;0;2;0
1023;572996;2024-01-06;sábado;17:50:00;SP;116.0;497.9;CAJATI;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Crescente;Ensolarado;Dupla;"Reta;Retorno Regulamentado";Rural;0;0;2;0
1055;573039;2024-01-06;sábado;21:20:00;SP;116.0;513.0;CAJATI;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;"Curva;Declive";Rural;0;0;1;0
1065;573050;2024-01-06;sábado;22:30:00;SP;116.0;228.0;SAO PAULO;Mal súbito do condutor;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Rural;0;0;1;0
1079;573066;2024-01-07;domingo;00:30:00;SP;381.0;87.0;SAO PAULO;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Múltipla;Curva;Rural;0;0;2;0
1084;573072;2024-01-07;domingo;00:15:00;SP;101.0;48.0;UBATUBA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
1088;573076;2024-01-07;domingo;01:10:00;SP;381.0;87.0;SAO PAULO;Ausência de reação do condutor;Colisão com objeto;Sem Vítimas;Plena Noite;Decrescente;Ensolarado;Múltipla;Curva;Urbano;0;0;1;0
1099;573089;2024-01-07;domingo;03:00:00;SP;116.0;166.3;JACAREI;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Urbano;0;0;1;0
1105;573096;2024-01-06;sábado;20:45:00;SP;153.0;70.1;SAO JOSE DO RIO PRETO;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Reta;Urbano;1;0;2;0
1119;573110;2024-01-07;domingo;05:00:00;SP;116.0;511.0;CAJATI;Condutor Dormindo;Colisão com objeto;Com Vítimas Feridas;Amanhecer;Crescente;Nublado;Simples;Reta;Rural;2;0;1;0
1131;573125;2024-01-07;domingo;08:15:00;SP;116.0;290.0;ITAPECERICA DA SERRA;Pedestre andava na pista;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Curva;Urbano;1;0;1;1
1139;573133;2024-01-07;domingo;10:30:00;SP;381.0;86.6;SAO PAULO;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Múltipla;Reta;Urbano;5;0;1;0
1163;573160;2024-01-07;domingo;12:00:00;SP;116.0;364.0;MIRACATU;Demais falhas mecânicas ou elétricas;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;3;0;1;0
1178;573178;2024-01-07;domingo;14:30:00;SP;116.0;99.0;PINDAMONHANGABA;Reação tardia ou ineficiente do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;3;0;3;0
1198;573200;2024-01-07;domingo;17:30:00;SP;116.0;154.0;SAO JOSE DOS CAMPOS;Ausência de reação do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Urbano;1;0;4;0
1199;573201;2024-01-07;domingo;17:50:00;SP;381.0;67.0;MAIRIPORA;Ingestão de álcool pelo condutor;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;2;0;2;0
1211;573214;2024-01-07;domingo;19:20:00;SP;116.0;326.0;JUQUITIBA;Pedestre cruzava a pista fora da faixa;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Dupla;Rotatória;Rural;0;0;1;0
1223;573227;2024-01-07;domingo;18:00:00;SP;116.0;218.8;GUARULHOS;Transitar na contramão;Colisão frontal;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Múltipla;Reta;Rural;1;0;2;0
1231;573236;2024-01-07;domingo;20:55:00;SP;116.0;274.0;TABOAO DA SERRA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Sem Vítimas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Urbano;0;0;3;0
1238;573243;2024-01-07;domingo;20:55:00;SP;116.0;96.0;PINDAMONHANGABA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Dupla;"Reta;Aclive";Rural;1;0;2;0
1255;573262;2024-01-07;domingo;22:40:00;SP;116.0;281.3;EMBU DAS ARTES;Pedestre andava na pista;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;Reta;Urbano;0;0;1;1
1261;573269;2024-01-07;domingo;23:00:00;SP;459.0;29.0;LORENA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Simples;Reta;Rural;0;0;1;0
1269;573278;2024-01-07;domingo;21:00:00;SP;459.0;28.0;LORENA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Simples;Reta;Rural;1;0;2;0
1297;573307;2024-01-08;segunda-feira;08:00:00;SP;116.0;144.0;SAO JOSE DOS CAMPOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Múltipla;Reta;Urbano;4;0;2;0
1314;573333;2024-01-08;segunda-feira;11:00:00;SP;116.0;227.0;GUARULHOS;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Urbano;0;0;2;0
1347;573374;2024-01-08;segunda-feira;13:50:00;SP;116.0;292.0;ITAPECERICA DA SERRA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Simples;Retorno Regulamentado;Rural;0;0;1;0
1352;573379;2024-01-08;segunda-feira;14:40:00;SP;116.0;230.0;SAO PAULO;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;Reta;Urbano;0;0;2;0
1353;573381;2024-01-08;segunda-feira;14:40:00;SP;101.0;18.7;UBATUBA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Simples;"Reta;Interseção de Vias";Rural;6;0;2;0
1372;573408;2024-01-08;segunda-feira;17:00:00;SP;153.0;74.6;BADY BASSITT;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;"Reta;Aclive";Urbano;1;0;1;0
1374;573410;2024-01-08;segunda-feira;17:00:00;SP;116.0;433.0;REGISTRO;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
1394;573430;2024-01-08;segunda-feira;17:50:00;SP;381.0;33.0;ATIBAIA;Ausência de reação do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Urbano;0;0;1;0
1401;573438;2024-01-08;segunda-feira;19:00:00;SP;116.0;222.0;GUARULHOS;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Chuvoso;Múltipla;Reta;Urbano;0;0;2;0
1402;573439;2024-01-08;segunda-feira;18:15:00;SP;116.0;153.0;SAO JOSE DOS CAMPOS;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Crescente;Ensolarado;Múltipla;Reta;Urbano;0;0;3;0
1412;573449;2024-01-08;segunda-feira;20:15:00;SP;116.0;75.3;APARECIDA;Suicídio (presumido);Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;1;1
1414;573452;2024-01-08;segunda-feira;20:50:00;SP;116.0;63.8;GUARATINGUETA;Trafegar com motocicleta (ou similar) entre as faixas;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;Curva;Urbano;0;0;2;0
1454;573497;2024-01-09;terça-feira;07:00:00;SP;116.0;228.0;SAO PAULO;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Múltipla;Reta;Urbano;0;0;2;0
1473;573518;2024-01-09;terça-feira;08:45:00;SP;116.0;186.0;SANTA ISABEL;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;Reta;Rural;1;0;1;0
1474;573519;2024-01-09;terça-feira;07:20:00;SP;116.0;95.6;PINDAMONHANGABA;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;0;0;1;0
1495;573559;2024-01-09;terça-feira;11:00:00;SP;381.0;25.0;BRAGANCA PAULISTA;Ausência de reação do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;"Reta;Aclive";Rural;0;0;4;0
1508;573579;2024-01-09;terça-feira;13:40:00;SP;116.0;55.1;LORENA;Mal súbito do condutor;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;2;0;1;0
1519;573592;2024-01-09;terça-feira;15:30:00;SP;116.0;282.0;EMBU DAS ARTES;Ausência de reação do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;"Curva;Declive";Rural;0;0;1;0
1541;573618;2024-01-09;terça-feira;17:15:00;SP;116.0;106.1;TAUBATE;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Anoitecer;Decrescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
1545;573623;2024-01-09;terça-feira;17:50:00;SP;116.0;164.8;JACAREI;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Ensolarado;Dupla;Reta;Rural;0;0;2;0
1553;573632;2024-01-09;terça-feira;18:20:00;SP;116.0;225.0;GUARULHOS;Chuva;Tombamento;Com Vítimas Feridas;Anoitecer;Decrescente;Chuvoso;Dupla;Reta;Urbano;0;0;1;0
1565;573644;2024-01-09;terça-feira;19:45:00;SP;153.0;119.9;UBARANA;Desrespeitar a preferência no cruzamento;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Dupla;"Rotatória;Reta";Urbano;0;0;2;0
1571;573651;2024-01-09;terça-feira;19:10:00;SP;116.0;226.0;GUARULHOS;Chuva;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Chuvoso;Dupla;"Reta;Aclive";Rural;0;0;1;0
1579;573659;2024-01-09;terça-feira;20:30:00;SP;116.0;489.0;CAJATI;Reação tardia ou ineficiente do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Ensolarado;Simples;"Rotatória;Curva";Urbano;0;0;1;0
1594;573674;2024-01-10;quarta-feira;02:00:00;SP;116.0;275.0;EMBU DAS ARTES;Transitar na contramão;Colisão frontal;Com Vítimas Feridas;Plena Noite;Crescente;Ensolarado;Dupla;Reta;Urbano;0;0;2;0
1614;573696;2024-01-10;quarta-feira;06:30:00;SP;116.0;207.0;GUARULHOS;Reação tardia ou ineficiente do condutor;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Ensolarado;Múltipla;Reta;Rural;1;0;2;0
1615;573697;2024-01-10;quarta-feira;06:00:00;SP;116.0;276.0;EMBU DAS ARTES;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Ensolarado;Dupla;"Reta;Declive";Rural;1;0;2;0
